NWCG_REPORTING_UNIT_NAME,DURATION,STAT_CAUSE_DESCR,FIRE_SIZE,LATITUDE,LONGITUDE
Stanislaus National Forest,10,Miscellaneous,0.1,38.0686111,-120.276667
San Bernardino National Forest,0,Arson,0.2,34.3469444,-117.442222
Joshua Tree National Monument,0,Miscellaneous,0.1,34.02039,-116.17997
Merced-Mariposa Unit,,Debris Burning,0.1,37.285,-120.4980556
Riverside Unit,,Miscellaneous,1,33.62805555,-116.2161111
California Desert District,0,Campfire,0.1,32.92494,-114.99253
Santa Barbara County Fire Department,,Miscellaneous,5,35.02915727,-120.1934479
Amador-El Dorado Unit,0,Miscellaneous,0.1,38.681702,-120.769455
Riverside Unit,,Miscellaneous,0.3,33.92694444,-116.94
Riverside Unit,,Miscellaneous,0.3,33.70111111,-116.19
Angeles National Forest,0,Campfire,0.1,34.3875,-117.709167
Stanislaus National Forest,3,Campfire,0.1,38.9522222,-120.105278
Cleveland National Forest,0,Campfire,0.1,33.6513889,-117.455
Santa Clara Unit,,Missing/Undefined,0.1,37.60173074,-121.6512304
Riverside Unit,0,Equipment Use,2,33.938732,-117.096416
San Bernardino National Forest,0,Miscellaneous,0.1,34.2016667,-117.105278
Tehama-Glenn Unit,,Equipment Use,1,39.85611111,-122.1969444
Monte Vista Unit,,Miscellaneous,0.1,33.16694444,-117.205
Sierra National Forest,0,Equipment Use,0.1,37.1497222,-119.458611
Northern California Agency,0,Debris Burning,0.1,41.1878,-123.7089
Riverside Unit,,Miscellaneous,2,33.61388888,-114.6580556
Riverside Unit,,Miscellaneous,1,33.76805555,-117.2461111
Angeles National Forest,0,Arson,0.1,34.4397222,-118.276389
Ellicott Slough National Wildlife Refuge,0,Debris Burning,0.1,36.94582,-121.84642
Riverside Unit,,Miscellaneous,1,33.94,-117.2130556
Angeles National Forest,0,Equipment Use,0.1,34.4575,-117.868611
Los Angeles County Fire Department,,Miscellaneous,0.11,34.28137998,-118.6163701
Los Padres National Forest,0,Miscellaneous,0.1,34.8283333,-119.071944
Cleveland National Forest,0,Equipment Use,0.1,32.8386111,-116.694167
Los Padres National Forest,0,Miscellaneous,0.25,34.5655556,-119.263333
Merced-Mariposa Unit,,Miscellaneous,1,37.49194444,-120.7469444
Riverside Unit,,Miscellaneous,1,33.73805555,-116.9411111
Cleveland National Forest,0,Campfire,0.1,33.6513889,-117.455
Los Padres National Forest,0,Miscellaneous,0.06,35.3786111,-120.284167
Southern California Agency,0,Equipment Use,0.1,32.646514,-116.358781
San Bernardino Unit,,Debris Burning,0.01,34.22001,-116.501189
Merced-Mariposa Unit,,Miscellaneous,1,37.335,-120.875
Monte Vista Unit,,Debris Burning,1,33.427955,-117.260241
Riverside Unit,,Children,18,33.50694444,-114.6211111
Cleveland National Forest,0,Debris Burning,107,33.6188889,-117.424444
Riverside Unit,,Miscellaneous,0.1,33.61888888,-117.2969444
Riverside Unit,,Miscellaneous,0.4,33.93888888,-117.2580556
Angeles National Forest,0,Miscellaneous,0.2,34.7422222,-118.623333
Merced-Mariposa Unit,,Debris Burning,0.1,37.40839,-119.95437
Nevada-Yuba-Placer Unit,0,Children,0.01,39.231317,-121.215047
Nevada-Yuba-Placer Unit,,Children,1,39.23179671,-121.2156886
Angeles National Forest,0,Campfire,0.1,34.6405556,-118.504722
Angeles National Forest,0,Campfire,0.1,34.3830556,-117.700833
Eldorado National Forest,0,Arson,0.4,38.535,-120.517778
Joshua Tree National Monument,0,Miscellaneous,0.1,34.03283,-116.16064
San Mateo-Santa Cruz Unit,,Miscellaneous,0.1,37.108218,-121.945625
San Luis Obispo Unit,,Powerline,0.01,35.459962,-120.747114
Sonoma-Lake Napa Unit,,Lightning,0.01,38.62818093,-122.903581
San Mateo-Santa Cruz Unit,,Miscellaneous,0.25,37.495559,-122.3688
San Diego National Wildlife Refuge,0,Miscellaneous,0.1,32.75174442,-116.7965653
Fresno-Kings Unit,,Debris Burning,1,36.61194444,-119.5338889
San Bernardino National Forest,0,Equipment Use,0.1,34.1933333,-117.468333
Southern California Agency,0,Equipment Use,0.1,32.647061,-116.346692
Riverside Unit,,Children,0.1,33.99194444,-117.3969444
San Diego National Wildlife Refuge,0,Railroad,0.1,32.580221,-116.919044
Riverside Unit,,Arson,0.5,33.88194444,-117.3661111
San Bernardino National Forest,0,Miscellaneous,0.1,34.2363889,-117.476667
Angeles National Forest,0,Equipment Use,0.1,34.6144444,-118.713333
Sequoia National Forest,0,Miscellaneous,0.01,36.5288889,-118.658333
Southern California Agency,0,Miscellaneous,0.1,32.692394,-116.333619
San Bernardino Unit,,Miscellaneous,0.1,34.12111111,-117.2338889
Monte Vista Unit,,Miscellaneous,0.1,33.037266,-116.577526
Angeles National Forest,0,Lightning,0.1,34.4002778,-117.862222
Cleveland National Forest,0,Arson,0.1,33.6261111,-117.368056
Angeles National Forest,0,Equipment Use,0.1,34.5608333,-118.680556
San Mateo-Santa Cruz Unit,,Missing/Undefined,0.1,36.944657,-121.841948
Fresno-Kings Unit,,Equipment Use,1,36.76111111,-120.3819444
Angeles National Forest,0,Arson,0.1,34.5925,-118.453056
San Bernardino National Forest,0,Railroad,0.1,34.3325,-117.499722
Nevada-Yuba-Placer Unit,,Debris Burning,1,39.07808461,-121.3115383
Nevada-Yuba-Placer Unit,0,Missing/Undefined,0.1,39.162313,-121.079952
Santa Clara Unit,,Debris Burning,0.1,37.01216,-121.6508
Tulare Unit,,Missing/Undefined,0.01,36.304861,-119.068583
Tulare Unit,,Missing/Undefined,0.01,36.306861,-119.069083
Tulare Unit,,Missing/Undefined,0.01,36.298722,-119.0665
Tulare Unit,,Missing/Undefined,0.01,36.291517,-119.0645
Tulare Unit,,Missing/Undefined,0.01,36.298667,-119.066472
Tulare Unit,,Missing/Undefined,0.01,36.298806,-119.066472
Nevada-Yuba-Placer Unit,0,Miscellaneous,0.1,39.177456,-120.96342
Tulare Unit,,Missing/Undefined,0.01,36.298833,-119.066528
Tulare Unit,,Missing/Undefined,0.01,36.298611,-119.066417
Tulare Unit,,Missing/Undefined,0.01,36.3015,-119.067778
Tulare Unit,,Missing/Undefined,0.01,36.2946,-119.0653
Tulare Unit,,Missing/Undefined,0.01,36.306167,-119.068861
Tulare Unit,,Missing/Undefined,0.01,36.304722,-119.068528
Tulare Unit,,Missing/Undefined,0.01,36.304944,-119.068639
Tulare Unit,,Missing/Undefined,0.01,36.304867,-119.068611
Tulare Unit,,Missing/Undefined,0.01,36.291667,-119.064533
Riverside Unit,,Miscellaneous,0.1,33.97111111,-117.5230556
Sequoia National Forest,,Equipment Use,0.1,35.6402778,-118.466389
Riverside Unit,,Debris Burning,0.1,33.77117,-117.084546
Riverside Unit,,Miscellaneous,0.1,33.93305555,-117.235
Humboldt-Del Norte Unit,,Arson,2.5,41.78389,-124.22556
Modoc National Forest,0,Campfire,0.1,41.5311111,-121.139722
Cleveland National Forest,0,Miscellaneous,0.1,33.6036111,-117.451667
Fort Yuma Agency,1,Equipment Use,0.1,32.7417,-114.6242
Monte Vista Unit,,Debris Burning,0.01,33.20582,-116.983593
Angeles National Forest,0,Equipment Use,0.1,34.5313889,-118.644444
Riverside Unit,,Debris Burning,1,33.56194444,-116.1730556
Santa Clara Unit,,Miscellaneous,0.1,37.76111111,-122.0269444
San Bernardino Unit,,Debris Burning,0.01,37.374444,-118.366944
San Bernardino National Forest,0,Equipment Use,0.1,34.3336111,-117.466944
San Bernardino National Forest,0,Campfire,0.1,33.7361111,-116.824722
Fresno-Kings Unit,,Miscellaneous,0.1,36.48888888,-119.8269444
Angeles National Forest,0,Equipment Use,2,34.5375,-118.081944
San Bernardino National Forest,0,Miscellaneous,0.1,34.2180556,-117.410278
Riverside Unit,,Equipment Use,0.1,33.69305555,-117.3730556
